"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
BH,1,c,"185",0,0.00,27.600,137.90,2070,p,,1301
BH,1,c,"2",0,0.00,0.620,3.10,364,p,,1302
BH,1,c,"2/0",0,0.00,0.765,3.83,626,p,,1302
BH,1,c,"240",0,0.00,30.300,151.70,2612,p,,1301
BH,1,c,"25",0,0.00,13.100,65.40,359,p,,1301
BH,1,c,"262",0,0.00,1.025,5.13,1152,p,,1302
BH,1,c,"3/0",0,0.00,0.815,4.08,750,p,,1302
BH,1,c,"300",0,0.00,33.000,165.00,3251,p,,1301
BH,1,c,"313",0,0.00,1.060,5.30,1333,p,,1302
BH,1,c,"35",0,0.00,14.500,72.30,466,p,,1301
BH,1,c,"373",0,0.00,1.115,5.58,1537,p,,1302
BH,1,c,"4",0,0.00,0.525,2.63,251,p,,1302
BH,1,c,"4/0",0,0.00,0.935,4.68,939,p,,1302
BH,1,c,"400",0,0.00,37.400,187.00,4150,p,,1301
BH,1,c,"444",0,0.00,1.195,5.98,1754,p,,1302
BH,1,c,"50",0,0.00,16.100,80.60,617,p,,1301
BH,1,c,"500",0,0.00,41.300,206.40,5180,p,,1301
BH,1,c,"535",0,0.00,1.290,6.45,2116,p,,1302
BH,1,c,"6",0,0.00,9.200,46.00,141,p,,1301
BH,1,c,"6",0,0.00,0.475,2.38,189,p,,1302
BH,1,c,"630",0,0.00,45.800,228.90,6459,p,,1301
BH,1,c,"70",0,0.00,18.400,91.90,855,p,,1301
BH,1,c,"8",0,0.00,0.405,2.03,133,p,,1302
BH,1,c,"95",0,0.00,20.300,101.60,1046,p,,1301
BH,2,c,"1.5",0,0.00,11.500,58.00,185,p,,1301
BH,2,c,"10",0,0.00,17.000,85.00,473,p,,1301
BH,2,c,"10",0,0.00,0.610,3.05,238,p,,1302
BH,2,c,"12",0,0.00,0.560,2.80,192,p,,1302
BH,2,c,"14",0,0.00,0.490,2.45,146,p,,1302
BH,2,c,"16",0,0.00,19.000,95.00,627,p,,1301
BH,2,c,"16",0,0.00,0.460,2.30,124,p,,1302
BH,2,c,"2",0,0.00,1.080,5.40,859,p,,1302
BH,2,c,"2.5",0,0.00,12.400,62.00,224,p,,1301
BH,2,c,"25",0,0.00,22.600,113.00,908,p,,1301
BH,2,c,"35",0,0.00,24.900,124.00,1154,p,,1301
BH,2,c,"4",0,0.00,13.600,68.00,274,p,,1301
BH,2,c,"4",0,0.00,0.960,4.80,632,p,,1302
BH,2,c,"6",0,0.00,14.900,74.00,342,p,,1301
BH,2,c,"6",0,0.00,0.815,4.08,445,p,,1302
BH,2,c,"8",0,0.00,0.675,3.38,306,p,,1302
BH,3,c,"1",0,0.00,1.265,6.33,1320,p,,1302
BH,3,c,"1.5",0,0.00,12.000,60.00,199,p,,1301
BH,3,c,"1/0",0,0.00,1.350,6.75,1577,p,,1302
