"desc_code","desc_name"
SX,X-90/N-30 1.5/1.5kV dc DO NOT DISCONNECT UNDER LOAD
SJ,PV Cable 1500V DC 62930 IEC 133
G07,HEATSHRINK CABLE END CAP
J41,MC4 Type Sealing Caps
SN,ANTI-TERMITE 1.5/1.5KV DC AS/NZS5033 LSZH 120C
J53,Release Key
J59,Lug Converter Source
J60,Lug Converter Drain
J50,LSP 500 PS YE PANEL SOURCE
B25,ALUMINIUM CRIMP LINK (16 25MM2)
J54,LSP Line Source
J56,LSP Line Drain
J51,Reduction Ferrule Kit
J52,LSP Panel Drain
J57,LSP XL Line Source
J58,LSP XL Line Drain
J64,LSP IP67 Locking Cap
J62,LSP Dust Cap
J61,LSP Line Source
J55,LSP Panel Source
C01,TriCab Beanie
C02,TriCab Pen
C03,TriCab Cap
U01,Conductive Grease ALI-FLEX
SPARE,PLEASE USE ME
C05,TriCab A5 NotePad
C06,TriCab Sticky Notes
C04,TriCab Keep Cup
FEA,"250V 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire I/Coll"
G08,Glue Lined Heat Shrink Tube Rainbow Pack
PI,"2KV 125C type P IEEE 1580"
PE,"2KV 125C type P ARMORED IEEE 1580"
BX,USE PRINT LEGEND 403! MTW PRIMARIES FOR BY CABLES
PP,PRIMARIES - 0.6/1KV 110C type P IEEE 1580
Z30,"12 Tonne Hydraulic Battery Crimper"
TD965,"2C1.5 Pilot PACW/X-HF-110/E-RUBBER S-20 0.6/1kV AS/NZS5000.1"
B05,Half-Moon Straight Tinned Copper Lug
CS,"1000V PVC 105C"
LL1,Pre-Assembled Lead
PS1C,Plug-Socket Lead J01/J03 - 32A
PS2B,"J09/J10 - 15A, Extension Plug - Socket Pre-Assembled Lead"
J42,MC4 Style Panel Mount
D15,Brass Armoured Cable Glands
D16,Double Sealed IP66 Armoured Cable Glands
LL8,B06 Lug-Lug Assembled Leads Set-Full Size Earth
Z39,Bootlace Crimp Dies
J12,Mounting Enclosure
Z36,"12 TONNE COPPER CRIMPING DIE"
X09,Trefoil Cable Cleats
D18,Stainless Steel EMC Cable Glands
D19,"Cable Gland, Stainless Steel - Fire Rated"
B29,TIN PLATED BI-METALLIC CIRCUIT BREAKER LUG
B07,Tin Plated Copper Crimp Links
B30,Copper Stalk Lugs
E01,Digital Timer Switch
A51,"Earth/ Neutral Bars, 2 Studs"
A38,Heat Shrink Splice Connector
Z40,Battery Cable Cutter
PS13,"3 Pin J01/J03 Plug - Socket Extension Lead"
PS14,"4 Pin J01/J03 Plug - Socket Extension Lead"
LL9,Leads Kit
Z35,"60 TONNE COPPER CRIMPING DIE SET"
Z34,"60T Hydraulic Crimper Head"
G09,LSZH HEAT SHRINK TUBE 125° SINGLE WALL 2:1
DW,Flexible Welding 0.6/1kV 90C AS/NZS5000.1 PACW/X-90/E-RUBBER
J80,Electric Vehicle Type 2 AC Charging Socket
PS3C,"J30/J31 - 32A, Extension Plug - Socket Pre-Assembled Lead"
PS3E,"J30/J31 - 63A, Extension Plug - Socket Pre-Assembled Lead"
F15,Back Box
J15,"Flat Pin Outlet Sockets, Two Gang"
